时间,公司名称,公司名称链接,行业,轮次,金额,投资方,最新估值(估算),字段1,字段2,字段3
2017-1-20,思齐芙蓉,https://www.itjuzi.com/company/27364950,战略投资,未透露,勤上光电,5亿人民币,教育,K12,独立品牌,
2017-1-20,学霸君,https://www.itjuzi.com/company/7237,C轮,1亿美元,招商局资本（领投）远翼投资（领投）晟道投资皖新传媒挚信资本启明创投祥峰投资...,65亿人民币,教育,K12,"K12在线辅导,提供拍照答题服务的教育产品",
2017-1-19,宝贝玩啥,https://www.itjuzi.com/company/16324,Pre-A轮,未透露,壹诺创投,1亿人民币,教育,儿童早教,素质教育,
2017-1-19,芝麻FM,https://www.itjuzi.com/company/31969142,A轮,数千万人民币,德同资本,1.5亿人民币,教育,K12,网络电台,
2017-1-19,新府学,https://www.itjuzi.com/company/26547157,A轮,数千万人民币,拼图资本,1.5亿人民币,教育,教育综合服务,语言学习,
2017-1-19,千锋教育,https://www.itjuzi.com/company/58399,战略投资,1亿人民币,方直科技,5亿人民币,教育,职业培训,VR/AR教育,
2017-1-19,Curiositi,https://www.itjuzi.com/company/58398,A轮,未透露,Menterra Social Impact FundUnitus Seed Fund,1亿人民币,教育,教育信息化,学校/院校,
2017-1-18,CC英语,https://www.itjuzi.com/company/58372,A轮,未透露,湖畔山南资本,1亿人民币,教育,语言学习,高考升学,
2017-1-18,见教传媒,https://www.itjuzi.com/company/58370,天使轮,数百万人民币,沪江教育-互桂基金,1500万人民币,教育,教育信息化,教育媒体及社区,
2017-1-17,小主人报,https://www.itjuzi.com/company/25930321,天使轮,数百万人民币,中路资本,1500万人民币,教育,素质教育,语言学习,
2017-1-17,光华教育集团,https://www.itjuzi.com/company/58336,C轮,未透露,凯辉基金,2.5亿人民币,教育,教育综合服务,语言学习,
2017-1-16,威爱教育,https://www.itjuzi.com/company/32561783,战略投资,数千万人民币,宏达电HTC（领投）慧科教育集团,5000万人民币,教育,教育信息化,VR技术,
2017-1-16,口袋家校,https://www.itjuzi.com/company/77688,天使轮,500万人民币,未透露,2500万人民币,教育,其他教育,家园互动,
2017-1-16,云舒写,https://www.itjuzi.com/company/60464,Pre-A轮,1000万人民币,险峰长青（领投）原子创投,5000万人民币,教育,K12,素质教育,
2017-1-16,Unacademy,https://www.itjuzi.com/company/58289,A轮,450万美元,未透露,1.46亿人民币,教育,教育综合服务,知识分享,
2017-1-13,TBI,https://www.itjuzi.com/company/63737,A轮,未透露,北清瑞创,1亿人民币,教育,出国留学,语言学习,
2017-1-13,小马课表,https://www.itjuzi.com/company/15283,A轮,未透露,洪泰创新空间,1亿人民币,教育,教育信息化,,
2017-1-13,夏山国际童军会,https://www.itjuzi.com/company/26094869,Pre-A轮,900万人民币,元迅投资（领投）,4500万人民币,教育,素质教育,,
2017-1-13,智慧工场一起教,https://www.itjuzi.com/company/83623,战略投资,1000万人民币,中文在线（领投）,5000万人民币,教育,K12,K12应用工具,
2017-1-13,启蒙听听,https://www.itjuzi.com/company/31708,天使轮,400万人民币,紫辉创投（领投）,4000万人民币,教育,儿童早教,房贷,
2017-1-13,手韩,https://www.itjuzi.com/company/42573,天使轮,未透露,Chinada Ridibooks,500万人民币,教育,语言学习,数字化教辅教材,
2017-1-13,Lingo Live,https://www.itjuzi.com/company/58256,A轮,520万美元,Owl VenturesFresco CapitalAlpine Meridian VenturesEntrepreneurs Expansion Fund...,1.69亿人民币,教育,语言学习,企业培训,
2017-1-13,小马学院,https://www.itjuzi.com/company/58242,战略投资,未透露,洪泰创新空间,5亿人民币,教育,素质教育,阿里巴巴系,
2017-1-12,留学中国,https://www.itjuzi.com/company/32607896,天使轮,未透露,金川纪年,500万人民币,教育,出国留学,VR/AR教育,
